City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,wailua homesteads,22.0669,-159.378,297.51,86,100,0.89,US,1736375791
203,topsham,43.9276,-69.9759,264.66,64,100,3.58,US,1736375792
204,inarajan village,13.2736,144.7484,300.59,88,24,7.1,GU,1736375793
205,quellon,-43.1167,-73.6167,286.72,70,94,5.22,CL,1736375795
206,kruisfontein,-34.0033,24.7314,288.84,89,0,2.09,ZA,1736375796
207,mount isa,-20.7333,139.5,302.02,54,17,2.57,AU,1736375797
208,vitorino freire,-4.0667,-45.1667,298.41,85,100,2.1,BR,1736375798
209,carnarvon,-24.8667,113.6333,297.97,59,57,8.95,AU,1736375799
210,hastings,50.8552,0.5729,274.7,60,100,10.23,GB,1736375802
211,coahuayana de hidalgo,18.7,-103.6583,301.33,62,80,2.28,MX,1736375803
212,xining,36.6167,101.7667,261.64,90,19,1.27,CN,1736375804
213,kirensk,57.7853,108.1119,242.81,100,43,0.74,RU,1736375591
214,mil'kovo,55.6078,37.7956,275.56,87,100,3.41,RU,1736375806
215,puerto cabezas,14.0351,-83.3888,302.13,74,40,11.32,NI,1736375809
216,mugia,43.1041,-9.2179,288.66,83,58,12.31,ES,1736375810
217,rangapara,26.8167,92.65,284.57,83,1,2.26,IN,1736375811
218,weno,7.4515,151.8468,302.12,79,75,4.12,FM,1736375812
219,mtama,-10.3,39.3667,295.95,98,73,0.9,TZ,1736375813
220,trairi,-3.2778,-39.2689,299.58,80,82,3.89,BR,1736375707
221,porto seguro,-16.4497,-39.0647,299.44,89,20,5.14,BR,1736375715
222,crestview,30.7621,-86.5705,282.09,47,0,5.66,US,1736375817
223,paka,4.6374,103.4368,297.11,88,100,0.0,MY,1736375818
224,tuburan,6.6439,122.2736,299.76,76,80,0.77,PH,1736375819
225,mananara,-16.1667,49.7667,297.0,93,19,1.72,MG,1736375820
226,grand falls-windsor,48.9332,-55.6649,273.43,92,82,0.6,CA,1736375821
227,ola,59.5833,151.2833,256.07,74,16,4.3,RU,1736375591
228,hermanus,-34.4187,19.2345,291.1,84,3,2.35,ZA,1736375824
229,eureka,40.8021,-124.1637,288.82,78,14,0.45,US,1736375825
230,loukhi,66.0764,33.0381,260.53,93,100,5.27,RU,1736375826
231,naze,28.3667,129.4833,286.66,56,34,6.49,JP,1736375827
232,belyy yar,53.6039,91.3903,256.09,92,100,0.0,RU,1736375828
233,san rafael del sur,11.8485,-86.4384,302.32,51,73,5.88,NI,1736375829
234,tuy hoa,13.0833,109.3,292.54,94,98,1.52,VN,1736375831
235,sevlievo,43.0258,25.1136,282.33,71,5,1.47,BG,1736375832
236,crane,31.3974,-102.3501,277.5,23,89,3.28,US,1736375833
237,port lincoln,-34.7333,135.8667,294.6,63,35,3.28,AU,1736375773
238,petawawa,45.9001,-77.3328,260.92,75,75,5.66,CA,1736375835
239,duba,27.3513,35.6901,291.61,37,100,3.68,SA,1736375836
240,dunedin,-45.8742,170.5036,284.85,84,99,1.62,NZ,1736375838
241,san patricio,28.017,-97.5169,281.12,43,100,5.32,US,1736375839
242,acajutla,13.5928,-89.8275,302.46,63,23,3.78,SV,1736375840
243,dzilam gonzalez,21.2833,-88.9333,295.02,69,25,3.2,MX,1736375841
244,laibin,23.7,109.2667,284.26,53,98,4.32,CN,1736375842
245,nereta,56.2066,25.313,272.24,92,91,4.29,LV,1736375843
246,bhabhua,25.05,83.6167,281.19,54,0,1.24,IN,1736375845
247,senanga,-16.1167,23.2667,291.54,93,84,2.42,ZM,1736375846
248,constantia,44.1833,28.65,281.53,77,18,3.05,RO,1736375702
249,tura,25.5198,90.2201,283.81,71,0,1.16,IN,1736375848
250,alappuzha,9.49,76.3264,297.75,84,47,3.19,IN,1736375849
251,papatowai,-46.5619,169.4708,285.49,78,97,2.42,NZ,1736375851
252,nemuro,43.3236,145.575,270.76,63,4,14.4,JP,1736375852
253,tombodu,8.1333,-10.6167,294.96,46,88,0.89,SL,1736375853
254,ghadamis,30.1337,9.5007,282.39,55,0,0.18,LY,1736375854
255,nizhneudinsk,54.9076,99.0276,261.65,94,100,1.08,RU,1736375855
256,asau,46.4333,26.4,282.57,66,100,9.25,RO,1736375856
257,gorodovikovsk,46.0878,41.9335,279.03,55,99,2.71,RU,1736375858
258,san angelo,31.4638,-100.437,276.27,41,40,3.6,US,1736375859
259,khovd,48.0056,91.6419,258.79,94,100,0.54,MN,1736375860
260,moroto,2.5345,34.6666,295.59,33,33,3.25,UG,1736375861
261,nicoya,10.1483,-85.452,298.31,81,93,5.23,CR,1736375862
262,qaryat suluq,31.6682,20.2521,287.63,67,99,2.49,LY,1736375604
263,dawei,14.0833,98.2,293.97,76,5,1.53,MM,1736375864
264,tolanaro,-25.0319,46.9987,300.19,78,75,0.0,MG,1736375866
265,puerto baquerizo moreno,-0.9,-89.6,299.7,74,75,5.14,EC,1736375867
266,mayqayyng,51.4625,75.7986,258.93,76,94,8.42,KZ,1736375868
267,preobrazheniye,42.9019,133.9064,256.63,61,17,4.31,RU,1736375869
268,parabel',58.6978,81.4825,263.28,92,100,6.76,RU,1736375870
269,posto fiscal rolim de moura,-13.0833,-62.2667,297.05,94,100,0.59,BR,1736375871
270,okha,53.5739,142.9478,269.17,89,100,6.6,RU,1736375873
271,sao gabriel da cachoeira,-0.1303,-67.0892,300.18,73,93,0.46,BR,1736375874
272,tarariras,-34.2833,-57.6167,296.66,44,63,6.06,UY,1736375875
273,meru,0.0463,37.6559,289.23,76,73,1.68,KE,1736375876
274,lionel town,17.8101,-77.2406,298.1,78,65,1.56,JM,1736375877
275,barkot,30.8167,78.2,277.67,31,0,1.8,IN,1736375878
276,kez,57.8979,53.7152,273.77,96,100,5.87,RU,1736375879
277,aioun,16.6614,-9.6149,294.76,16,3,5.24,MR,1736375881
278,vanimo,-2.6741,141.3028,300.35,84,100,0.87,PG,1736375882
279,lae,-6.7221,146.9847,300.84,69,97,2.8,PG,1736375883
280,hanceville,34.0607,-86.7675,276.02,54,4,4.26,US,1736375884
281,pemba,-12.974,40.5178,300.02,81,95,4.69,MZ,1736375885
282,usinsk,65.9939,57.5281,254.35,91,100,4.78,RU,1736375886
283,angra do heroismo,38.65,-27.2167,292.49,82,75,11.06,PT,1736375888
284,nizhniy kuranakh,58.8353,125.4869,237.68,100,31,1.07,RU,1736375891
285,isabel segunda,18.1491,-65.4427,297.42,73,91,5.64,PR,1736375892
286,uturoa,-16.7333,-151.4333,300.93,70,52,4.16,PF,1736375893
287,freetown,8.484,-13.2299,298.46,84,36,2.3,SL,1736375894
288,okhotsk,59.3833,143.3,252.69,77,48,4.51,RU,1736375896
289,santiago de cao,-7.9589,-79.2392,292.22,88,99,5.66,PE,1736375897
290,mindelo,16.8901,-24.9804,294.9,68,0,7.2,CV,1736375899
291,matias barbosa,-21.8692,-43.3194,293.01,98,37,2.48,BR,1736375900
292,keetmanshoop,-26.5833,18.1333,295.38,30,31,4.29,NA,1736375901
293,bikenibeu village,1.3673,173.1241,302.13,70,40,4.12,KI,1736375903
294,lerwick,60.1545,-1.1494,276.91,69,100,9.59,GB,1736375904
295,minas de marcona,-15.2119,-75.1103,291.16,73,86,6.77,PE,1736375905
296,itapecuru mirim,-3.3925,-44.3586,297.04,96,91,1.71,BR,1736375689
297,east london,-33.0153,27.9116,292.75,82,21,2.13,ZA,1736375612
298,richards bay,-28.783,32.0377,294.98,85,100,2.83,ZA,1736375908
299,kingscliff,-28.2667,153.5667,301.45,78,20,1.54,AU,1736375909
300,remire-montjoly,4.9167,-52.2667,300.17,78,40,4.12,GF,1736375734
301,swift current,50.2834,-107.8014,274.6,86,100,10.29,CA,1736375912
302,warmbad,-28.45,18.7333,294.43,38,0,5.85,NA,1736375913
303,broome,42.2506,-75.833,265.11,74,100,5.14,US,1736375914
304,baharly,38.4362,57.4316,274.69,57,0,4.36,TM,1736375916
305,elverum,60.8819,11.5623,263.41,95,97,1.85,NO,1736375918
306,catumbela,-12.4314,13.5472,297.11,82,88,1.4,AO,1736375919
307,pangai,-19.8,-174.35,301.21,65,75,5.14,TO,1736375920
308,trenton,40.217,-74.7429,270.93,42,0,4.47,US,1736375921
309,moultonborough,43.7548,-71.3967,262.49,67,88,9.83,US,1736375922
310,genhe,50.7833,121.5167,248.89,98,98,0.89,CN,1736375923
311,bad langensalza,51.1,10.65,275.34,96,100,3.1,DE,1736375925
312,pelabuhanratu,-6.9875,106.5514,298.9,80,100,1.18,ID,1736375926
313,karamay,45.6004,84.8661,270.36,55,88,9.07,CN,1736375927
314,vorkuta,67.5,64.0,244.76,100,99,2.72,RU,1736375673
315,ilhabela,-23.7781,-45.3581,296.43,90,93,3.67,BR,1736375929
316,bonthe,7.5264,-12.505,299.08,87,5,3.24,SL,1736375930
317,jeremie,18.65,-74.1167,296.98,83,85,3.14,HT,1736375932
318,akjoujt,19.6969,-14.4164,293.93,14,0,5.6,MR,1736375933
319,jaral del progreso,20.3667,-101.0667,294.49,44,85,2.4,MX,1736375934
320,haimen,23.1935,116.6142,285.3,83,39,2.46,CN,1736375935
321,chonchi,-42.6128,-73.8092,289.33,65,99,1.31,CL,1736375937
322,kargasok,59.0556,80.8572,263.16,93,100,6.77,RU,1736375938
323,uribia,11.7139,-72.266,302.38,56,25,6.23,CO,1736375939
324,sandnessjoen,66.0217,12.6316,270.21,63,75,1.03,NO,1736375940
325,laojunmiao,39.8333,97.7333,263.74,62,7,1.81,CN,1736375941
326,santiago de cuba,20.0247,-75.8219,300.21,69,40,5.66,CU,1736375838
327,auki,-8.7676,160.7034,302.03,73,71,3.89,SB,1736375945
328,korla,41.7597,86.1469,267.51,72,100,1.82,CN,1736375946
329,fortuna,40.5982,-124.1573,288.67,71,0,2.57,US,1736375947
330,juneau,58.3019,-134.4197,279.15,95,100,4.12,US,1736375948
331,sungailiat,-1.85,106.1333,299.47,85,100,4.63,ID,1736375949
332,susuman,62.7833,148.1667,237.1,95,93,0.54,RU,1736375951
333,villanueva,15.3167,-88.0,295.7,100,100,6.17,HN,1736375952
334,horta,38.5333,-28.6333,292.05,92,75,12.07,PT,1736375953
335,la'ie,21.6477,-157.9253,297.81,88,96,1.34,US,1736375954
336,montrose,38.4166,-108.2673,270.22,52,25,0.71,US,1736375955
337,hakkari,37.5833,44.1667,256.03,85,100,1.54,TR,1736375956
338,orichi,58.4036,49.0572,274.12,98,100,6.07,RU,1736375958
339,margaret river,-33.95,115.0667,287.78,68,70,3.09,AU,1736375959
340,gadzhiyevo,69.2551,33.3362,258.61,99,78,1.22,RU,1736375960
341,ambon,-3.6954,128.1814,302.52,95,95,1.81,ID,1736375961
342,tangalle,6.024,80.7911,296.28,94,3,1.83,LK,1736375962
343,lihue,21.9789,-159.3672,297.84,87,100,0.0,US,1736375963
344,vadso,70.0744,29.7487,263.24,79,75,2.57,NO,1736375964
345,xilin hot,43.9667,116.0333,251.07,93,10,1.61,CN,1736375966
346,olinda,-8.0089,-34.8553,301.0,74,40,3.6,BR,1736375967
347,seaside,36.6111,-121.8516,293.66,33,0,2.57,US,1736375968
348,kapa'a,22.0752,-159.319,298.25,86,100,0.89,US,1736375969
349,lorengau,-2.0226,147.2712,302.44,69,94,1.84,PG,1736375970
350,namtsy,62.7161,129.6658,237.5,98,100,0.21,RU,1736375971
351,barra de santo antonio,-9.4047,-35.5072,299.23,76,97,5.63,BR,1736375972
352,brookings,44.3114,-96.7984,269.36,61,0,4.63,US,1736375680
353,nagqu,31.5,92.0,259.26,26,100,0.56,CN,1736375975
354,kayangel,8.0823,134.7173,302.02,75,68,7.23,PW,1736375976
355,san luis de la loma,17.2706,-100.8939,301.22,62,0,2.39,MX,1736375977
356,kone,-21.0595,164.8658,303.67,38,98,0.82,NC,1736375980
357,furukawa,38.5717,140.9556,273.33,91,90,1.26,JP,1736375981
358,ancud,-41.8697,-73.8203,288.39,74,100,3.75,CL,1736375693
359,denkanikota,12.5333,77.8,287.84,98,8,2.68,IN,1736375983
360,sumbawa besar,-8.5,117.4333,297.7,94,98,1.38,ID,1736375984
361,algiers,36.7525,3.042,288.61,46,0,2.06,DZ,1736375985
362,altagracia de orituco,9.8601,-66.3814,297.14,63,9,2.59,VE,1736375987
363,sarankhola,22.3082,89.7897,286.22,65,0,2.32,BD,1736375988
364,egilsstadir,65.2653,-14.3948,268.1,86,100,1.03,IS,1736375989
